"sub_grade","n_loans","avg_interest_rate","default_rate_pct"
"A1","43678","5.54","3.22"
"A2","37178","6.52","4.66"
"A3","37996","7.12","5.51"
"A4","52235","7.51","6.87"
"A5","64003","8.20","8.40"
"B1","71153","8.90","10.42"
"B2","74024","9.91","11.36"
"B3","81827","10.75","12.98"
"B4","83199","11.49","14.83"
"B5","82538","12.01","16.70"
"C1","85494","12.76","18.98"
"C2","79213","13.44","20.72"
"C3","74998","14.02","22.52"
"C4","74421","14.71","24.92"
"C5","67560","15.55","26.01"
"D1","51321","16.38","27.81"
"D2","44848","17.27","29.59"
"D3","39317","17.95","30.54"
"D4","35566","18.58","32.37"
"D5","29901","19.38","33.43"
"E1","23749","19.80","36.06"
"E2","21377","20.47","37.55"
"E3","18387","21.20","38.71"
"E4","15720","22.09","40.10"
"E5","14417","23.22","41.77"
"F1","9970","23.92","42.30"
"F2","7198","24.50","45.35"
"F3","6088","25.28","45.07"
"F4","4859","25.89","47.89"
"F5","3943","26.57","49.18"
"G1","2997","27.28","47.85"
"G2","2131","27.35","49.13"
"G3","1614","27.82","51.36"
"G4","1280","28.40","51.17"
"G5","1110","28.75","53.60"
