"purpose","income_bracket","n_loans","default_rate_pct"
"small_business","Mid","7800","31.71"
"small_business","Low","1868","28.80"
"moving","Low","2253","28.10"
"small_business","High","5748","27.30"
"renewable_energy","Mid","531","25.99"
"medical","Low","2920","25.24"
"debt_consolidation","Low","119250","24.96"
"house","Low","1074","24.77"
"house","Mid","3862","24.11"
"moving","Mid","5161","23.64"
"other","Low","16793","23.63"
"medical","Mid","8859","22.53"
"vacation","Low","1864","22.42"
"debt_consolidation","Mid","458640","21.81"
"other","Mid","43446","21.55"
"credit_card","Low","46634","21.46"
"home_improvement","Low","8626","20.97"
"major_purchase","Low","4948","20.94"
"vacation","Mid","5187","19.61"
"major_purchase","Mid","16149","18.99"
"car","Low","3396","18.96"
"home_improvement","Mid","46121","18.75"
"credit_card","Mid","168932","17.51"
"moving","High","2066","17.47"
"debt_consolidation","High","202431","17.41"
"medical","High","3775","17.32"
"other","High","17636","17.31"
"house","High","2317","16.83"
"major_purchase","High","8328","16.46"
"home_improvement","High","32757","15.40"
"vacation","High","2014","15.04"
"car","Mid","8104","14.08"
"credit_card","High","79713","13.03"
"wedding","Mid","1408","11.65"
"car","High","3085","11.54"
