"issue_quarter","total_loans","defaults","default_rate_pct"
"2007-04-01 00:00:00","1","0","0.00"
"2007-07-01 00:00:00","81","10","12.35"
"2007-10-01 00:00:00","169","35","20.71"
"2008-01-01 00:00:00","581","96","16.52"
"2008-04-01 00:00:00","292","44","15.07"
"2008-07-01 00:00:00","186","28","15.05"
"2008-10-01 00:00:00","503","79","15.71"
"2009-01-01 00:00:00","775","93","12.00"
"2009-04-01 00:00:00","965","125","12.95"
"2009-07-01 00:00:00","1231","144","11.70"
"2009-10-01 00:00:00","1745","232","13.30"
"2010-01-01 00:00:00","1953","208","10.65"
"2010-04-01 00:00:00","2776","373","13.44"
"2010-07-01 00:00:00","3284","460","14.01"
"2010-10-01 00:00:00","3523","446","12.66"
"2011-01-01 00:00:00","4126","565","13.69"
"2011-04-01 00:00:00","5102","783","15.35"
"2011-07-01 00:00:00","5876","861","14.65"
"2011-10-01 00:00:00","6617","1088","16.44"
"2012-01-01 00:00:00","8076","1304","16.15"
"2012-04-01 00:00:00","10447","1779","17.03"
"2012-07-01 00:00:00","16133","2654","16.45"
"2012-10-01 00:00:00","18711","2907","15.54"
"2013-01-01 00:00:00","22706","3410","15.02"
"2013-04-01 00:00:00","30668","4985","16.25"
"2013-07-01 00:00:00","37571","5847","15.56"
"2013-10-01 00:00:00","43859","6782","15.46"
"2014-01-01 00:00:00","47013","7751","16.49"
"2014-04-01 00:00:00","52456","9766","18.62"
"2014-07-01 00:00:00","55237","10389","18.81"
"2014-10-01 00:00:00","68396","13255","19.38"
"2015-01-01 00:00:00","76803","15435","20.10"
"2015-04-01 00:00:00","85942","17685","20.58"
"2015-07-01 00:00:00","97904","19819","20.24"
"2015-10-01 00:00:00","114896","22864","19.90"
"2016-01-01 00:00:00","111933","22790","20.36"
"2016-04-01 00:00:00","62946","15952","25.34"
"2016-07-01 00:00:00","60891","15806","25.96"
"2016-10-01 00:00:00","57325","13694","23.89"
"2017-01-01 00:00:00","46871","10748","22.93"
"2017-04-01 00:00:00","44487","10586","23.80"
"2017-07-01 00:00:00","43848","10492","23.93"
"2017-10-01 00:00:00","34094","7322","21.48"
"2018-01-01 00:00:00","22526","4383","19.46"
"2018-04-01 00:00:00","18447","3345","18.13"
"2018-07-01 00:00:00","10308","1017","9.87"
"2018-10-01 00:00:00","5030","122","2.43"
